50 2450
0 1 2784
1 0 2784
0 2 1749
2 0 1749
0 3 3358
3 0 3358
0 4 1241
4 0 1241
0 5 319
5 0 319
0 6 1635
6 0 1635
0 7 1666
7 0 1666
0 8 1123
8 0 1123
0 9 2691
9 0 2691
0 10 2597
10 0 2597
0 11 185
11 0 185
0 12 1327
12 0 1327
0 13 1115
13 0 1115
0 14 117
14 0 117
0 15 7
15 0 7
0 16 1481
16 0 1481
0 17 2155
17 0 2155
0 18 1112
18 0 1112
0 19 2760
19 0 2760
0 20 17
20 0 17
0 21 2042
21 0 2042
0 22 1724
22 0 1724
0 23 3465
23 0 3465
0 24 3657
24 0 3657
0 25 1187
25 0 1187
0 26 1273
26 0 1273
0 27 1643
27 0 1643
0 28 3645
28 0 3645
0 29 1453
29 0 1453
0 30 2967
30 0 2967
0 31 894
31 0 894
0 32 1990
32 0 1990
0 33 1806
33 0 1806
0 34 338
34 0 338
0 35 447
35 0 447
0 36 3549
36 0 3549
0 37 1343
37 0 1343
0 38 1629
38 0 1629
0 39 3240
39 0 3240
0 40 2779
40 0 2779
0 41 897
41 0 897
0 42 2131
42 0 2131
0 43 3228
43 0 3228
0 44 1111
44 0 1111
0 45 2875
45 0 2875
0 46 3502
46 0 3502
0 47 2753
47 0 2753
0 48 2246
48 0 2246
0 49 792
49 0 792
1 2 2143
2 1 2143
1 3 1984
3 1 1984
1 4 2444
4 1 2444
1 5 47
5 1 47
1 6 1658
6 1 1658
1 7 1312
7 1 1312
1 8 1842
8 1 1842
1 9 3522
9 1 3522
1 10 3560
10 1 3560
1 11 229
11 1 229
1 12 1323
12 1 1323
1 13 2466
13 1 2466
1 14 1914
14 1 1914
1 15 997
15 1 997
1 16 3137
16 1 3137
1 17 3610
17 1 3610
1 18 108
18 1 108
1 19 1184
19 1 1184
1 20 967
20 1 967
1 21 483
21 1 483
1 22 1610
22 1 1610
1 23 3310
23 1 3310
1 24 664
24 1 664
1 25 866
25 1 866
1 26 698
26 1 698
1 27 2943
27 1 2943
1 28 2613
28 1 2613
1 29 2809
29 1 2809
1 30 221
30 1 221
1 31 1531
31 1 1531
1 32 3089
32 1 3089
1 33 3206
33 1 3206
1 34 125
34 1 125
1 35 3263
35 1 3263
1 36 170
36 1 170
1 37 3630
37 1 3630
1 38 1858
38 1 1858
1 39 356
39 1 356
1 40 1534
40 1 1534
1 41 818
41 1 818
1 42 3411
42 1 3411
1 43 1728
43 1 1728
1 44 1299
44 1 1299
1 45 3423
45 1 3423
1 46 2039
46 1 2039
1 47 2957
47 1 2957
1 48 179
48 1 179
1 49 3632
49 1 3632
2 3 2895
3 2 2895
2 4 1177
4 2 1177
2 5 1007
5 2 1007
2 6 3615
6 2 3615
2 7 2448
7 2 2448
2 8 3200
8 2 3200
2 9 720
9 2 720
2 10 2485
10 2 2485
2 11 2998
11 2 2998
2 12 2998
12 2 2998
2 13 1755
13 2 1755
2 14 3561
14 2 3561
2 15 921
15 2 921
2 16 669
16 2 669
2 17 319
17 2 319
2 18 886
18 2 886
2 19 1227
19 2 1227
2 20 1132
20 2 1132
2 21 171
21 2 171
2 22 2585
22 2 2585
2 23 2881
23 2 2881
2 24 3346
24 2 3346
2 25 3469
25 2 3469
2 26 2780
26 2 2780
2 27 2028
27 2 2028
2 28 1320
28 2 1320
2 29 551
29 2 551
2 30 2336
30 2 2336
2 31 1848
31 2 1848
2 32 992
32 2 992
2 33 3178
33 2 3178
2 34 500
34 2 500
2 35 26
35 2 26
2 36 1728
36 2 1728
2 37 354
37 2 354
2 38 3077
38 2 3077
2 39 918
39 2 918
2 40 3307
40 2 3307
2 41 2227
41 2 2227
2 42 2968
42 2 2968
2 43 1374
43 2 1374
2 44 38
44 2 38
2 45 1407
45 2 1407
2 46 1892
46 2 1892
2 47 2122
47 2 2122
2 48 761
48 2 761
2 49 2301
49 2 2301
3 4 2427
4 3 2427
3 5 2100
5 3 2100
3 6 2975
6 3 2975
3 7 975
7 3 975
3 8 1397
8 3 1397
3 9 2036
9 3 2036
3 10 3406
10 3 3406
3 11 1622
11 3 1622
3 12 977
12 3 977
3 13 3324
13 3 3324
3 14 218
14 3 218
3 15 147
15 3 147
3 16 993
16 3 993
3 17 278
17 3 278
3 18 3652
18 3 3652
3 19 1528
19 3 1528
3 20 304
20 3 304
3 21 1672
21 3 1672
3 22 298
22 3 298
3 23 1726
23 3 1726
3 24 2378
24 3 2378
3 25 3
25 3 3
3 26 811
26 3 811
3 27 203
27 3 203
3 28 1069
28 3 1069
3 29 2304
29 3 2304
3 30 3009
30 3 3009
3 31 2079
31 3 2079
3 32 458
32 3 458
3 33 496
33 3 496
3 34 3438
34 3 3438
3 35 2145
35 3 2145
3 36 2509
36 3 2509
3 37 1321
37 3 1321
3 38 25
38 3 25
3 39 1800
39 3 1800
3 40 2973
40 3 2973
3 41 3547
41 3 3547
3 42 3033
42 3 3033
3 43 729
43 3 729
3 44 1029
44 3 1029
3 45 899
45 3 899
3 46 3364
46 3 3364
3 47 2810
47 3 2810
3 48 454
48 3 454
3 49 3167
49 3 3167
4 5 750
5 4 750
4 6 2751
6 4 2751
4 7 1399
7 4 1399
4 8 538
8 4 538
4 9 3226
9 4 3226
4 10 1458
10 4 1458
4 11 2730
11 4 2730
4 12 394
12 4 394
4 13 2159
13 4 2159
4 14 835
14 4 835
4 15 135
15 4 135
4 16 3603
16 4 3603
4 17 3489
17 4 3489
4 18 2514
18 4 2514
4 19 825
19 4 825
4 20 2775
20 4 2775
4 21 3499
21 4 3499
4 22 2244
22 4 2244
4 23 1710
23 4 1710
4 24 201
24 4 201
4 25 2495
25 4 2495
4 26 358
26 4 358
4 27 854
27 4 854
4 28 2109
28 4 2109
4 29 1752
29 4 1752
4 30 689
30 4 689
4 31 2176
31 4 2176
4 32 2666
32 4 2666
4 33 3586
33 4 3586
4 34 2486
34 4 2486
4 35 1813
35 4 1813
4 36 3334
36 4 3334
4 37 2210
37 4 2210
4 38 394
38 4 394
4 39 3207
39 4 3207
4 40 688
40 4 688
4 41 1863
41 4 1863
4 42 1736
42 4 1736
4 43 1444
43 4 1444
4 44 818
44 4 818
4 45 2743
45 4 2743
4 46 2028
46 4 2028
4 47 2508
47 4 2508
4 48 3123
48 4 3123
4 49 1788
49 4 1788
5 6 1363
6 5 1363
5 7 3312
7 5 3312
5 8 1292
8 5 1292
5 9 2932
9 5 2932
5 10 1089
10 5 1089
5 11 618
11 5 618
5 12 584
12 5 584
5 13 3100
13 5 3100
5 14 1462
14 5 1462
5 15 3317
15 5 3317
5 16 869
16 5 869
5 17 1825
17 5 1825
5 18 716
18 5 716
5 19 2277
19 5 2277
5 20 843
20 5 843
5 21 446
21 5 446
5 22 164
22 5 164
5 23 2268
23 5 2268
5 24 1101
24 5 1101
5 25 2700
25 5 2700
5 26 2412
26 5 2412
5 27 2749
27 5 2749
5 28 1396
28 5 1396
5 29 1365
29 5 1365
5 30 2321
30 5 2321
5 31 2881
31 5 2881
5 32 842
32 5 842
5 33 2702
33 5 2702
5 34 3206
34 5 3206
5 35 2754
35 5 2754
5 36 1326
36 5 1326
5 37 419
37 5 419
5 38 3547
38 5 3547
5 39 2924
39 5 2924
5 40 3068
40 5 3068
5 41 875
41 5 875
5 42 1268
42 5 1268
5 43 1157
43 5 1157
5 44 2567
44 5 2567
5 45 3220
45 5 3220
5 46 41
46 5 41
5 47 290
47 5 290
5 48 1814
48 5 1814
5 49 2688
49 5 2688
6 7 2185
7 6 2185
6 8 494
8 6 494
6 9 2196
9 6 2196
6 10 3410
10 6 3410
6 11 1240
11 6 1240
6 12 2068
12 6 2068
6 13 1990
13 6 1990
6 14 2178
14 6 2178
6 15 2452
15 6 2452
6 16 220
16 6 220
6 17 1080
17 6 1080
6 18 351
18 6 351
6 19 2692
19 6 2692
6 20 1139
20 6 1139
6 21 1602
21 6 1602
6 22 1150
22 6 1150
6 23 1333
23 6 1333
6 24 2172
24 6 2172
6 25 87
25 6 87
6 26 1468
26 6 1468
6 27 2111
27 6 2111
6 28 2384
28 6 2384
6 29 3670
29 6 3670
6 30 1027
30 6 1027
6 31 2067
31 6 2067
6 32 1889
32 6 1889
6 33 1814
33 6 1814
6 34 614
34 6 614
6 35 347
35 6 347
6 36 2019
36 6 2019
