100 7424
0 41 767
41 0 767
0 9 4414
9 0 4414
0 30 3309
30 0 3309
0 56 5183
56 0 5183
0 52 7737
52 0 7737
0 29 8052
29 0 8052
0 15 295
15 0 295
0 65 910
65 0 910
0 93 731
93 0 731
0 20 4037
20 0 4037
0 67 1449
67 0 1449
0 86 7342
86 0 7342
0 49 940
49 0 940
0 5 4
5 0 4
0 83 3918
83 0 3918
0 64 9185
64 0 9185
0 63 455
63 0 455
0 71 2936
71 0 2936
0 34 7628
34 0 7628
0 92 446
92 0 446
0 59 6719
59 0 6719
0 78 10742
78 0 10742
0 37 2368
37 0 2368
0 79 714
79 0 714
0 95 5963
95 0 5963
0 24 9972
24 0 9972
0 2 6552
2 0 6552
0 94 2403
94 0 2403
0 62 5109
62 0 5109
0 11 1721
11 0 1721
0 39 1459
39 0 1459
0 77 8131
77 0 8131
0 55 7768
55 0 7768
0 25 3913
25 0 3913
0 23 1214
23 0 1214
0 45 6430
45 0 6430
0 53 1026
53 0 1026
0 16 3429
16 0 3429
0 31 667
31 0 667
0 73 3166
73 0 3166
0 90 1095
90 0 1095
0 54 2691
54 0 2691
0 87 5218
87 0 5218
0 26 5205
26 0 5205
0 72 649
72 0 649
0 82 11059
82 0 11059
0 21 1024
21 0 1024
0 17 9142
17 0 9142
0 4 80
4 0 80
0 88 2810
88 0 2810
0 76 10626
76 0 10626
0 50 10124
50 0 10124
0 69 5601
69 0 5601
0 81 51
81 0 51
0 98 668
98 0 668
0 97 7054
97 0 7054
0 7 3175
7 0 3175
0 6 6578
6 0 6578
0 22 1920
22 0 1920
0 44 5907
44 0 5907
0 3 9725
3 0 9725
0 43 8721
43 0 8721
0 27 8172
27 0 8172
0 57 10393
57 0 10393
0 74 9740
74 0 9740
0 80 9839
80 0 9839
0 46 2931
46 0 2931
0 60 2275
60 0 2275
0 10 6104
10 0 6104
0 47 3818
47 0 3818
0 84 1082
84 0 1082
0 89 10197
89 0 10197
0 58 9162
58 0 9162
0 48 4019
48 0 4019
0 38 1670
38 0 1670
0 42 10114
42 0 10114
0 61 2256
61 0 2256
0 75 1413
75 0 1413
0 8 6265
8 0 6265
0 99 3667
99 0 3667
0 35 7600
35 0 7600
0 12 10542
12 0 10542
1 8 8213
8 1 8213
1 76 6143
76 1 6143
1 82 9103
82 1 9103
1 91 134
91 1 134
1 19 3423
19 1 3423
1 39 7486
39 1 7486
1 54 4037
54 1 4037
1 58 3147
58 1 3147
1 44 9737
44 1 9737
1 3 11032
3 1 11032
1 26 5646
26 1 5646
1 72 5456
72 1 5456
1 12 9244
12 1 9244
1 52 6715
52 1 6715
1 55 1596
55 1 1596
1 15 5207
15 1 5207
1 75 2648
75 1 2648
1 83 10324
83 1 10324
1 80 400
80 1 400
1 77 914
77 1 914
1 86 10382
86 1 10382
1 13 2879
13 1 2879
1 14 9045
14 1 9045
1 42 3770
42 1 3770
1 40 8596
40 1 8596
1 49 9854
49 1 9854
1 56 7576
56 1 7576
1 11 5634
11 1 5634
1 53 122
53 1 122
1 73 736
73 1 736
1 29 7164
29 1 7164
1 57 2519
57 1 2519
1 90 5760
90 1 5760
1 2 8
2 1 8
1 21 166
21 1 166
1 51 4103
51 1 4103
1 32 6834
32 1 6834
1 23 9738
23 1 9738
1 50 995
50 1 995
1 16 1679
16 1 1679
1 27 3121
27 1 3121
1 63 8912
63 1 8912
1 20 4511
20 1 4511
1 48 8013
48 1 8013
1 84 2026
84 1 2026
1 69 2133
69 1 2133
1 10 856
10 1 856
1 94 9510
94 1 9510
1 45 3856
45 1 3856
1 67 2707
67 1 2707
1 70 9623
70 1 9623
1 89 5682
89 1 5682
1 60 3424
60 1 3424
1 78 6670
78 1 6670
1 68 4304
68 1 4304
1 24 943
24 1 943
1 17 3484
17 1 3484
1 5 6326
5 1 6326
1 85 9332
85 1 9332
1 4 1271
4 1 1271
1 92 1790
92 1 1790
1 9 9037
9 1 9037
1 22 870
22 1 870
1 65 1411
65 1 1411
1 87 10606
87 1 10606
2 59 9203
59 2 9203
2 90 3993
90 2 3993
2 70 4510
70 2 4510
2 29 3597
29 2 3597
2 17 4128
17 2 4128
2 89 10253
89 2 10253
2 25 1664
