200 19900
0 74 14795
74 0 14795
0 5 13176
5 0 13176
0 80 10713
80 0 10713
0 163 9851
163 0 9851
0 57 11798
57 0 11798
0 76 29630
76 0 29630
0 109 29523
109 0 29523
0 158 449
158 0 449
0 190 19816
190 0 19816
0 160 24931
160 0 24931
0 70 8932
70 0 8932
0 172 291
172 0 291
0 53 11911
53 0 11911
0 145 9037
145 0 9037
0 123 25155
123 0 25155
0 13 28626
13 0 28626
0 45 25363
45 0 25363
0 186 28525
186 0 28525
0 8 10555
8 0 10555
0 82 16749
82 0 16749
0 28 8110
28 0 8110
0 191 3260
191 0 3260
0 66 5084
66 0 5084
0 18 2670
18 0 2670
0 94 21971
94 0 21971
0 129 6193
129 0 6193
0 51 20147
51 0 20147
0 126 2309
126 0 2309
0 56 21390
56 0 21390
0 132 5623
132 0 5623
0 31 28510
31 0 28510
0 63 18486
63 0 18486
0 55 2385
55 0 2385
0 11 25689
11 0 25689
0 40 14462
40 0 14462
0 116 1172
116 0 1172
0 184 13315
184 0 13315
0 43 2994
43 0 2994
0 42 17987
42 0 17987
0 179 16226
179 0 16226
0 108 15034
108 0 15034
0 103 26239
103 0 26239
0 49 7770
49 0 7770
0 1 21509
1 0 21509
0 135 27047
135 0 27047
0 136 22759
136 0 22759
0 46 2525
46 0 2525
0 125 15227
125 0 15227
0 183 18197
183 0 18197
0 138 22773
138 0 22773
0 185 249
185 0 249
0 146 16277
146 0 16277
0 122 11888
122 0 11888
0 192 26131
192 0 26131
0 152 10996
152 0 10996
0 118 5304
118 0 5304
0 155 29089
155 0 29089
0 44 25494
44 0 25494
0 98 2387
98 0 2387
0 36 16598
36 0 16598
0 71 28020
71 0 28020
0 140 22028
140 0 22028
0 181 3059
181 0 3059
0 58 28884
58 0 28884
0 29 13771
29 0 13771
0 17 25596
17 0 25596
0 54 22489
54 0 22489
0 110 9426
110 0 9426
0 12 18499
12 0 18499
0 198 24005
198 0 24005
0 32 8696
32 0 8696
0 101 15227
101 0 15227
0 170 4683
170 0 4683
0 121 23529
121 0 23529
0 78 20050
78 0 20050
0 52 13096
52 0 13096
0 7 28609
7 0 28609
0 10 3844
10 0 3844
0 96 13196
96 0 13196
0 85 422
85 0 422
0 141 1686
141 0 1686
0 84 2930
84 0 2930
0 194 16909
194 0 16909
0 193 2426
193 0 2426
0 176 17447
176 0 17447
0 165 19268
165 0 19268
0 91 20262
91 0 20262
0 142 29469
142 0 29469
0 131 24726
131 0 24726
1 117 24156
117 1 24156
1 8 19102
8 1 19102
1 137 24364
137 1 24364
1 16 5674
16 1 5674
1 20 518
20 1 518
1 169 14693
169 1 14693
1 51 8985
51 1 8985
1 180 18861
180 1 18861
1 99 10455
99 1 10455
1 174 6040
174 1 6040
1 67 11610
67 1 11610
1 166 9521
166 1 9521
1 82 4235
82 1 4235
1 109 6334
109 1 6334
1 81 3881
81 1 3881
1 159 28079
159 1 28079
1 19 10287
19 1 10287
1 114 25505
114 1 25505
1 92 26233
92 1 26233
1 46 2470
46 1 2470
1 178 9994
178 1 9994
1 186 26377
186 1 26377
1 62 12226
62 1 12226
1 126 23413
126 1 23413
1 190 24406
190 1 24406
1 101 25179
101 1 25179
1 90 17614
90 1 17614
1 5 26398
5 1 26398
1 165 22166
165 1 22166
1 151 24856
151 1 24856
1 161 15802
161 1 15802
1 41 25380
41 1 25380
1 13 3830
13 1 3830
1 143 12891
143 1 12891
1 112 743
112 1 743
1 84 12664
84 1 12664
1 73 4206
73 1 4206
1 121 1906
121 1 1906
1 193 22845
193 1 22845
1 113 12485
113 1 12485
1 130 16721
