30 217
0 19 364
0 16 27
0 18 231
0 17 148
0 25 195
0 26 288
0 12 82
0 9 99
0 14 470
0 3 77
1 24 128
1 19 628
1 29 446
1 15 371
1 13 295
1 10 317
1 25 384
1 18 34
1 26 251
1 21 196
2 0 217
2 1 456
2 24 38
2 12 366
2 16 383
2 27 126
2 8 451
2 13 260
2 17 255
3 19 450
3 8 569
3 27 16
3 11 193
3 23 161
3 24 198
4 20 489
4 9 101
4 26 335
4 29 542
4 15 380
4 14 319
4 13 279
5 6 239
5 10 241
5 11 434
5 26 454
5 14 348
5 25 264
6 3 578
6 21 486
6 19 595
6 17 230
6 18 23
6 29 413
7 1 101
7 29 267
7 12 565
7 23 94
8 0 343
8 24 244
8 4 635
8 10 261
8 18 358
9 14 595
9 3 253
9 21 126
9 27 39
9 10 52
9 16 191
9 5 430
9 2 43
10 25 578
10 17 458
10 4 178
10 23 569
11 19 203
11 29 531
11 9 263
11 1 139
11 5 36
11 23 80
11 6 288
11 26 449
11 22 547
12 5 562
12 11 603
12 28 187
13 14 91
13 7 366
13 8 518
13 1 176
13 10 134
13 6 243
13 23 217
14 22 301
14 8 589
14 1 557
14 12 22
15 0 51
15 12 435
15 10 191
15 25 213
15 24 625
16 17 615
16 7 509
16 3 330
16 28 195
16 23 272
16 22 612
16 24 639
16 2 566
16 9 638
16 19 251
16 13 389
17 14 46
17 16 461
17 2 276
17 22 240
17 1 583
17 9 619
17 18 529
18 17 92
18 1 615
18 3 109
18 10 138
18 13 384
18 23 555
18 15 41
18 28 22
19 14 339
19 22 63
19 20 24
19 26 589
19 23 192
19 7 291
19 5 551
19 2 472
19 0 184
19 8 153
19 29 8
20 4 92
20 11 92
20 14 148
20 22 317
21 28 471
21 26 456
21 5 404
21 6 246
21 3 62
22 6 47
22 16 323
22 4 357
22 7 63
22 17 531
22 20 244
22 18 618
22 10 69
22 23 395
23 9 506
23 2 618
23 20 563
23 17 542
24 21 534
24 25 66
24 20 359
24 29 66
24 9 183
24 0 17
24 28 243
24 27 217
24 1 254
24 2 15
24 19 555
24 15 114
25 6 576
25 1 480
25 28 222
25 20 307
25 16 565
25 15 84
25 3 612
25 26 583
25 22 352
26 14 527
26 23 91
26 25 526
26 15 70
26 5 156
26 2 119
26 17 93
26 1 262
27 29 543
27 16 262
27 25 33
27 17 560
27 26 84
27 0 65
27 20 589
27 12 311
28 29 70
28 16 615
28 5 437
28 1 610
28 21 82
28 0 544
28 12 555
28 9 396
29 19 49
29 12 205
29 28 183
29 23 627
29 6 127
29 10 334
29 1 164
29 13 472
29 24 612
29 27 132
25
