30 652
0 4 1078
0 1 648
0 23 1169
0 17 909
0 15 514
0 7 814
0 24 1417
0 13 1204
0 18 344
0 16 1921
0 6 421
0 14 1109
0 9 1378
0 26 1182
0 28 1948
0 20 87
0 27 1072
0 3 647
0 2 1870
0 21 1754
0 10 1036
0 5 684
0 12 521
1 10 1223
1 6 1822
1 20 1949
1 29 1396
1 23 1315
1 2 1510
1 25 1535
1 14 1617
1 4 1551
1 12 740
1 15 679
1 11 1320
1 21 924
1 5 1094
1 19 1235
1 0 1854
1 8 418
1 3 969
1 17 33
1 9 48
2 26 1682
2 17 1937
2 27 634
2 14 1653
2 6 1903
2 28 118
2 13 1492
2 10 930
2 18 1729
2 29 1845
2 19 1285
2 25 1892
2 11 763
2 4 800
2 16 1892
2 8 102
2 7 1092
2 12 1221
2 15 1352
2 9 728
2 24 1909
3 21 310
3 29 497
3 22 1683
3 27 971
3 9 418
3 19 359
3 23 1348
3 5 287
3 4 1114
3 17 91
3 26 1129
3 8 87
3 2 1085
3 14 324
3 10 1131
3 13 1682
3 7 1464
3 11 984
3 6 123
4 26 1369
4 3 668
4 12 835
4 11 62
4 17 35
4 16 404
4 1 1423
4 7 422
4 18 1613
4 8 1594
4 24 1364
4 15 77
4 10 1806
4 28 1002
4 14 1427
4 9 1288
4 2 477
4 20 1937
4 0 319
4 21 802
4 23 847
4 27 1492
4 29 339
4 25 1000
4 22 1153
5 28 892
5 8 427
5 7 1409
5 16 1919
5 13 377
5 10 1354
5 9 1762
5 29 696
5 26 258
5 21 1121
5 14 25
5 18 108
5 0 697
5 25 568
5 12 535
5 19 1263
5 3 516
5 24 1085
5 6 124
5 4 542
5 2 269
6 21 430
6 13 961
6 3 1680
6 17 692
6 14 3
6 28 1919
6 2 575
6 24 142
6 7 1650
6 22 1018
6 19 1165
6 29 1805
6 1 1890
6 23 994
6 9 1739
6 11 1603
6 25 20
6 20 -2
7 23 386
7 18 1543
7 3 1242
7 19 560
7 22 1402
7 27 1516
7 5 134
7 0 1749
7 6 735
7 1 914
7 4 1603
7 29 1305
7 9 574
7 24 1602
7 13 1147
7 17 497
7 16 638
7 12 1331
7 26 854
7 11 942
7 14 1519
7 15 640
7 8 376
7 28 1709
7 21 1939
7 2 1362
8 3 1153
8 20 429
8 14 83
8 29 1771
8 23 1542
8 15 1000
8 19 1171
8 25 519
8 13 758
8 16 1280
8 28 852
8 10 115
8 9 1463
8 4 1654
8 6 671
8 5 1661
8 7 922
8 22 816
8 24 628
8 1 1479
8 27 817
8 12 644
9 28 1350
9 19 624
9 6 1630
9 8 414
9 1 362
9 0 1732
9 17 1653
9 26 915
9 29 949
9 21 903
9 3 843
9 12 1336
9 22 803
9 23 668
9 16 -8
9 18 481
9 13 113
10 17 644
10 15 893
10 4 1490
10 1 898
10 18 1539
10 3 1910
10 2 1004
10 24 558
10 0 543
10 6 1065
10 21 716
10 13 963
10 11 1503
10 8 776
10 5 1261
10 7 578
10 29 886
10 16 550
10 12 1889
10 14 1481
11 16 47
11 18 1791
11 5 765
11 28 1066
11 29 726
11 3 380
11 25 849
11 8 1395
11 20 291
11 13 938
11 12 1296
11 27 692
11 0 1225
11 21 1239
11 19 176
11 9 632
11 26 1347
11 15 383
11 4 1572
11 7 866
11 22 1000
12 0 1152
12 23 44
12 6 1578
12 22 325
12 17 1678
12 7 1841
12 9 1605
12 3 403
